owner,type,violations,buildings,viol_per_bldg,top_category,top_district,d1,d2,d3,d4,d5,d6,d7,d8,d9
LONG BEACH CITY,Public/Civic,824,83,9.9,Other,6,116,9,38,95,39,325,105,16,81
AVANATH SEAPORT LP,Limited Partnership,514,25,20.6,Uncategorized,8,0,0,0,0,0,0,0,514,0
LONG BEACH ARTS DISTRICT LLC,LLC,486,17,28.6,Other,9,0,0,0,0,0,0,0,228,258
DECRO LONG BEACH LP,Limited Partnership,285,17,16.8,Uncategorized,7,85,0,0,0,0,66,106,0,28
PENN PROPERTIES LLC,LLC,259,23,11.3,Uncategorized,2,125,128,0,0,0,6,0,0,0
OCEAN STRUCTURE INC,Corporation,222,11,20.2,Uncategorized,1,104,0,0,0,0,79,39,0,0
WP LBMF LLC AND,LLC,189,14,13.5,Uncategorized,2,65,84,0,0,0,40,0,0,0
BERRO FAMILY HOLDINGS LLC,LLC,159,18,8.8,Uncategorized,7,9,55,1,0,30,3,61,0,0
DAWN PATROL LLC,LLC,155,8,19.4,Uncategorized,6,0,21,17,0,0,84,0,0,33
OCEAN STRUCTURE LP,Limited Partnership,150,8,18.8,Uncategorized,6,20,27,0,0,0,103,0,0,0
795 LONG BEACH BLVD LLC,LLC,134,2,67.0,Other,1,134,0,0,0,0,0,0,0,0
CADI XX LLC,LLC,133,3,44.3,Other,1,133,0,0,0,0,0,0,0,0
BAY HOTEL LLC,LLC,131,3,43.7,Other,1,131,0,0,0,0,0,0,0,0
SBG REC LLC,LLC,111,7,15.9,Uncategorized,7,12,0,0,0,0,0,64,0,35
HEK INVESTMENTS LLC,LLC,106,6,17.7,Uncategorized,1,83,23,0,0,0,0,0,0,0
BEAVER INVESTMENTS LLC,LLC,106,12,8.8,Uncategorized,3,0,7,98,1,0,0,0,0,0
ANASTASI DEVELOPMENT COMPANY LLC,LLC,104,1,104.0,Other,1,104,0,0,0,0,0,0,0,0
ACKERFIELD 2 LLC,LLC,99,2,49.5,Uncategorized,8,0,0,0,0,0,0,0,99,0
923 LONG BEACH LLC,LLC,95,2,47.5,Other,1,95,0,0,0,0,0,0,0,0
PHR PARKWAY LONG BEACH LLC,LLC,95,9,10.6,COVID,5,0,0,0,0,95,0,0,0,0
SHI MIN LLC,LLC,94,1,94.0,Other,1,94,0,0,0,0,0,0,0,0
304 PCH HOLDINGS LLC,LLC,93,4,23.2,Other,6,0,0,0,0,0,93,0,0,0
WESTLAND PROPERTIES THIRTEEN LLC,LLC,92,8,11.5,Uncategorized,1,67,9,0,0,0,7,0,0,9
WARDLOW FUNDING LLC,LLC,92,2,46.0,Other,5,0,0,0,0,92,0,0,0,0
GRU GROUP HOLDINGS LLC,LLC,91,2,45.5,Other,5,0,0,0,0,91,0,0,0,0
AF PROPERTIES 2015 LLC,LLC,91,5,18.2,Other,8,0,0,0,0,6,0,4,81,0
GEMSTONE PROPERTIES LLC,LLC,89,1,89.0,Other,7,0,0,0,0,0,0,89,0,0
FARMERS AND MERCHANTS TR CO TR,Corporation,85,6,14.2,Uncategorized,2,0,67,18,0,0,0,0,0,0
LEEWARD CAPITAL LONG BEACH LLC,LLC,84,1,84.0,Other,1,84,0,0,0,0,0,0,0,0
HCC HOLDINGS LLC,LLC,84,7,12.0,Other,7,0,0,0,0,0,0,84,0,0
AHUMADA PARTNERS LLC,LLC,83,1,83.0,Other,6,0,0,0,0,0,83,0,0,0
HOBART VENICE LLC,LLC,82,2,41.0,Uncategorized,1,82,0,0,0,0,0,0,0,0
LUKAZAMA LLC,LLC,82,2,41.0,Other,6,0,0,0,0,0,82,0,0,0
FOURTH ST SANDS APARTMENTS LLC,LLC,81,2,40.5,Uncategorized,2,0,81,0,0,0,0,0,0,0
RED CURB INVESTMENTS LLC,LLC,81,4,20.2,Uncategorized,2,0,45,0,0,36,0,0,0,0
CABE BROTHERS RENTALS LLC,LLC,79,7,11.3,Other,6,10,0,0,0,0,67,2,0,0
"JACQUES,CAMERON J CO TR JACQUES",Corporation,79,2,39.5,Other,1,79,0,0,0,0,0,0,0,0
1518 HENDERSON LLC,LLC,78,1,78.0,Other,1,78,0,0,0,0,0,0,0,0
RAMOS REAL ESTATE GROUP INC,Corporation,78,1,78.0,Other,6,0,0,0,0,0,78,0,0,0
MK HOMES AND DEVELOPMENT LLC,LLC,78,2,39.0,Other,6,0,0,0,0,0,78,0,0,0
"MAGNATTA,COSTANTINO CO TR",Corporation,77,3,25.7,Uncategorized,1,50,27,0,0,0,0,0,0,0
46 ATLANTIC LLC,LLC,77,4,19.2,Uncategorized,8,0,0,0,0,0,0,0,77,0
CANDO SERVICES LLC,LLC,76,1,76.0,Other,7,0,0,0,0,0,0,76,0,0
BASTANCHURY LLC,LLC,76,1,76.0,Other,9,0,0,0,0,0,0,0,0,76
LAND MARK MARKETING CORPORATION,Corporation,74,7,10.6,Uncategorized,2,12,62,0,0,0,0,0,0,0
JETTON AND MILLER PROPERTIES LP,Limited Partnership,73,6,12.2,Uncategorized,2,11,39,0,0,23,0,0,0,0
1628 1724 OCEAN AVENUE LLC,LLC,73,6,12.2,Uncategorized,2,0,73,0,0,0,0,0,0,0
HOWOOD PROPERTIES LP,Limited Partnership,72,3,24.0,Uncategorized,1,40,4,0,0,0,0,0,0,28
CEDAR AND 6TH INVESTMENTS LLC,LLC,70,3,23.3,Uncategorized,1,48,22,0,0,0,0,0,0,0
SAFE REFUGE CORP,Corporation,69,13,5.3,Uncategorized,2,0,69,0,0,0,0,0,0,0
624 W 5TH ST LLC,LLC,66,6,11.0,Uncategorized,1,40,0,0,0,5,21,0,0,0
LTH REALTY LLC ET AL,LLC,66,3,22.0,Other,6,0,0,0,0,0,66,0,0,0
737 E FIFTH STREET LLC,LLC,65,2,32.5,Uncategorized,1,65,0,0,0,0,0,0,0,0
NEW CONTINENT LLC,LLC,65,4,16.2,Uncategorized,7,0,0,0,0,0,23,31,0,11
SEQUOIA LANDS LLC,LLC,65,2,32.5,Other,7,0,0,0,0,0,0,65,0,0
MSGS AND ASSOCIATES LLC,LLC,64,3,21.3,Uncategorized,7,0,0,0,0,0,25,27,0,12
MULLIO PROPERTIES LLC,LLC,63,4,15.8,Uncategorized,1,63,0,0,0,0,0,0,0,0
3000 COAST HIGHWAY LLC,LLC,62,3,20.7,Uncategorized,6,12,0,0,0,0,25,0,0,25
JARBEEK PROPERTIES LLC,LLC,62,1,62.0,Nuisance,3,0,0,62,0,0,0,0,0,0
PGLB LLC,LLC,61,7,8.7,Uncategorized,1,20,6,0,0,0,17,18,0,0
BERRO ASSETS LLC,LLC,61,6,10.2,Uncategorized,2,4,33,0,0,5,0,19,0,0
TALGUST LP,Limited Partnership,61,5,12.2,Uncategorized,1,33,0,0,0,0,28,0,0,0
LOS ALTOS GATEWAY LLC,LLC,61,9,6.8,COVID,4,0,0,0,61,0,0,0,0,0
STM PROPERTIES LLC,LLC,61,4,15.2,Uncategorized,9,0,0,0,0,0,0,0,4,57
600 LONG BEACH BLVD LLC,LLC,60,1,60.0,Other,1,60,0,0,0,0,0,0,0,0
BF PROPERTIES 1 LLC,LLC,60,2,30.0,Uncategorized,2,0,41,0,0,0,0,0,0,19
AMUSEMENT INDUSTRY INC,Corporation,60,3,20.0,Other,9,0,0,0,0,7,0,0,0,53
BEST WESTERN SUMMITT INN INC,Corporation,59,2,29.5,Uncategorized,8,0,0,0,0,0,0,0,59,0
SOCAL EQUITY HOLDINGS LLC,LLC,58,6,9.7,Uncategorized,7,2,0,0,0,0,8,29,0,19
"TAING,THOMAS K CO TR  TAING",Corporation,57,8,7.1,Uncategorized,1,23,0,0,0,0,2,0,18,14
"JACOBSEN,DONALD I CO TR  D AND E",Corporation,57,1,57.0,Uncategorized,2,0,57,0,0,0,0,0,0,0
ROVE LONG BEACH CA006 LLC,LLC,57,5,11.4,Other,7,0,0,0,0,0,0,57,0,0
MARKET ST 1074 E LLC,LLC,57,3,19.0,Uncategorized,8,0,0,0,0,0,0,0,57,0
MILLENNIUM PROPERTIES 3 0 LLC,LLC,56,4,14.0,Uncategorized,6,17,0,0,0,0,36,0,3,0
WILLIAMS AND LOWE LLC,LLC,56,6,9.3,Uncategorized,3,0,0,56,0,0,0,0,0,0
TREE 1 LLC,LLC,55,7,7.9,Uncategorized,1,22,9,3,0,0,4,17,0,0
ATLANTIC APTS LLC,LLC,55,2,27.5,Uncategorized,9,0,0,0,0,0,0,0,0,55
COSMOPOLITAN LB INVESTMENT LLC,LLC,54,2,27.0,Uncategorized,1,51,0,0,0,0,0,3,0,0
"DRAZBA,PETER R CO TR  DRAZBA",Corporation,54,3,18.0,Uncategorized,1,33,0,0,0,21,0,0,0,0
BRITE SPOT LLC,LLC,54,3,18.0,COVID,1,32,0,0,0,0,22,0,0,0
LBX RETAIL OWNER LLC,LLC,54,3,18.0,COVID,5,0,0,0,0,54,0,0,0,0
PLEASANTVILLE 27 LLC,LLC,54,3,18.0,Uncategorized,8,0,0,0,0,0,0,0,54,0
GGF LLC,LLC,53,11,4.8,COVID,8,0,0,0,0,0,0,0,53,0
6640 N ORIZABA LLC,LLC,53,1,53.0,Uncategorized,9,0,0,0,0,0,0,0,0,53
LB PARADISE GARDENS LLC,LLC,53,1,53.0,Uncategorized,9,0,0,0,0,0,0,0,0,53
KGP I LLC,LLC,52,5,10.4,Uncategorized,1,25,5,22,0,0,0,0,0,0
BLUE KNIGHT LLC,LLC,52,2,26.0,Uncategorized,2,0,52,0,0,0,0,0,0,0
ROOTS INC AND,Corporation,52,2,26.0,Uncategorized,7,0,0,0,0,0,0,52,0,0
CEDAR GREEN LLC,LLC,51,1,51.0,Uncategorized,1,51,0,0,0,0,0,0,0,0
FUGATE HOLDINGS LLC,LLC,51,6,8.5,Uncategorized,6,16,0,0,0,16,19,0,0,0
HOT SPOT RENTALS LLC,LLC,51,3,17.0,Uncategorized,1,36,15,0,0,0,0,0,0,0
ANKLE AND FOOT CARE CENTER INC,Corporation,51,4,12.8,Uncategorized,1,33,0,0,0,0,13,5,0,0
COASTAL RANGE GROUP LLC,LLC,51,2,25.5,Uncategorized,6,0,22,0,0,0,29,0,0,0
FRISCHER LB NORTH LLC,LLC,51,3,17.0,Uncategorized,6,0,0,0,0,0,37,14,0,0
VALU PROPERTIES LLC AND,LLC,50,3,16.7,Other,1,34,16,0,0,0,0,0,0,0
SA PROPERTIES COMPANY LP,Corporation,50,2,25.0,Other,5,0,10,0,0,40,0,0,0,0
JT INVESTMENT GROUP LLC,LLC,50,1,50.0,Other,5,0,0,0,0,50,0,0,0,0
1135 MARTIN LUTHER LLC,LLC,50,1,50.0,Uncategorized,6,0,0,0,0,0,50,0,0,0
BENGAL HOUSING INVESTMENTS LLC,LLC,50,4,12.5,Other,6,0,0,0,0,0,47,0,3,0
AMERICAN STORE PROPERTIES LLC,LLC,50,4,12.5,COVID,7,0,0,0,0,0,0,50,0,0
ELM TERRACE HOLDINGS LLC,LLC,49,3,16.3,Uncategorized,6,16,0,0,0,0,33,0,0,0
C C C PROPERTY GROUP 4 LLC,LLC,48,3,16.0,Uncategorized,6,2,0,13,0,0,33,0,0,0
ATLANTIC AVE HOLDINGS LLC,LLC,48,3,16.0,Uncategorized,5,0,0,0,0,48,0,0,0,0
DYNASTY CA PROPERTIES LLC,LLC,48,4,12.0,Uncategorized,8,0,0,0,0,20,0,0,28,0
CENTURY ACKERFIELD LLC,LLC,48,1,48.0,Uncategorized,8,0,0,0,0,0,0,0,48,0
LINDEN FIRST LLC,LLC,47,2,23.5,Uncategorized,1,47,0,0,0,0,0,0,0,0
PALOMA LBP LLC AND,LLC,47,3,15.7,Uncategorized,2,0,47,0,0,0,0,0,0,0
EVEREST REALTY INVESTMENTS LLC,LLC,46,3,15.3,Uncategorized,2,9,19,18,0,0,0,0,0,0
H AND JR DEVELOPMENT LLC,LLC,46,2,23.0,Uncategorized,6,17,0,0,0,0,29,0,0,0
DLC ENTERPRISES LLC,LLC,46,5,9.2,Uncategorized,2,0,25,0,21,0,0,0,0,0
"PABST FAMILY,LLC AND",LLC,46,2,23.0,Uncategorized,2,0,46,0,0,0,0,0,0,0
"MONAZZAM,JAFAR CO TR  MONAZZAM",Corporation,46,1,46.0,Uncategorized,3,0,0,46,0,0,0,0,0,0
SB RIALTO OPP ZONE LLC,LLC,45,1,45.0,Uncategorized,1,45,0,0,0,0,0,0,0,0
"BRISCOE,JOHN F JR CO TR  BRISCO",Corporation,45,1,45.0,Uncategorized,1,45,0,0,0,0,0,0,0,0
BSLB LLC,LLC,45,4,11.2,Uncategorized,1,26,0,0,0,0,0,19,0,0
PMBM LLC,LLC,45,5,9.0,COVID,3,0,21,24,0,0,0,0,0,0
MIRACLE MILE PROPERTIES LP,Limited Partnership,45,4,11.2,COVID,5,0,0,0,0,45,0,0,0,0
ORANGE QUAIL RIDGE LLC AND,LLC,45,2,22.5,Uncategorized,5,0,0,0,0,45,0,0,0,0
1480 ALAMITOS L P,Limited Partnership,45,1,45.0,Property Maintenance,6,0,0,0,0,0,45,0,0,0
33 DREAM TEAM LLC,LLC,44,3,14.7,Other,1,44,0,0,0,0,0,0,0,0
551 DAISY APTS LLC,LLC,44,1,44.0,Uncategorized,1,44,0,0,0,0,0,0,0,0
1045 E 4TH ST LLC,LLC,44,1,44.0,Uncategorized,2,0,44,0,0,0,0,0,0,0
CHATEAU BELMONT SHORES PARTNERS,Limited Partnership,44,3,14.7,Uncategorized,3,0,0,44,0,0,0,0,0,0
FL SUN LLC,LLC,44,2,22.0,Uncategorized,6,0,0,0,0,0,44,0,0,0
LB3 PORTFOLIO LLC,LLC,44,4,11.0,Uncategorized,6,0,0,0,0,0,44,0,0,0
BELLA BARK LLC,LLC,43,1,43.0,Uncategorized,1,43,0,0,0,0,0,0,0,0
10TH AND ROSWELL LLC,LLC,43,3,14.3,Uncategorized,3,0,0,43,0,0,0,0,0,0
PARTNERSHIP ADVISORS LP,Limited Partnership,43,2,21.5,COVID,4,0,0,0,31,0,12,0,0,0
PARK BIXBY TOWER INC,Corporation,42,1,42.0,Uncategorized,1,42,0,0,0,0,0,0,0,0
927 CHESTNUT LLC,LLC,42,1,42.0,Uncategorized,1,42,0,0,0,0,0,0,0,0
GARY HOFFMAN JULIE HOFFMAN LLC,LLC,42,3,14.0,Uncategorized,2,3,39,0,0,0,0,0,0,0
1770 LLC,LLC,42,2,21.0,Uncategorized,6,0,0,0,0,0,42,0,0,0
AVANATH NORTHPOINTE LP,Limited Partnership,42,2,21.0,Uncategorized,8,0,0,0,0,0,0,0,42,0
BELLATERA PROPERTIES LLC,LLC,41,2,20.5,Uncategorized,1,31,10,0,0,0,0,0,0,0
