zip,year,notice_events,lockout_events,total_events,cases_noticed,cases_lockout
90801,2005,1,0,1,1,0
90801,2013,1,0,1,1,0
90801,2018,1,1,2,1,1
90802,2005,441,336,777,416,332
90802,2006,412,284,696,402,284
90802,2007,432,312,744,418,312
90802,2008,377,264,641,368,264
90802,2009,395,276,671,380,275
90802,2010,365,235,600,352,235
90802,2011,382,243,625,375,243
90802,2012,351,235,586,339,235
90802,2013,374,233,607,363,233
90802,2014,331,165,496,321,165
90802,2015,339,175,514,329,175
90802,2017,291,159,450,282,159
90802,2018,258,139,397,253,139
90802,2019,295,168,463,288,167
90802,2020,69,48,117,68,48
90802,2021,98,77,175,96,77
90802,2022,187,102,289,179,101
90802,2023,390,190,580,385,190
90802,2024,390,130,520,386,130
90802,2025,179,94,273,177,94
90803,2005,54,39,93,54,39
90803,2006,68,46,114,66,46
90803,2007,68,36,104,64,36
90803,2008,61,46,107,59,46
90803,2009,66,32,98,63,32
90803,2010,66,40,106,62,40
90803,2011,57,30,87,54,29
90803,2012,83,52,135,80,51
90803,2013,63,36,99,61,36
90803,2014,57,22,79,56,22
90803,2015,52,26,78,49,26
90803,2017,43,23,66,39,23
90803,2018,42,17,59,42,17
90803,2019,37,24,61,35,23
90803,2020,14,7,21,13,7
90803,2021,18,12,30,18,12
90803,2022,37,21,58,37,21
90803,2023,56,29,85,55,29
90803,2024,45,18,63,42,18
90803,2025,26,16,42,25,16
90804,2005,274,195,469,267,195
90804,2006,265,198,463,253,198
90804,2007,304,203,507,296,203
90804,2008,272,178,450,258,178
90804,2009,230,150,380,218,150
90804,2010,255,171,426,249,171
90804,2011,235,134,369,229,134
90804,2012,255,164,419,248,164
90804,2013,239,148,387,234,148
90804,2014,266,130,396,255,130
90804,2015,193,98,291,187,98
90804,2017,219,96,315,212,96
90804,2018,151,84,235,148,84
90804,2019,152,80,232,146,80
90804,2020,32,25,57,30,25
90804,2021,44,25,69,41,25
90804,2022,115,81,196,113,81
90804,2023,181,102,283,178,102
90804,2024,156,64,220,154,63
90804,2025,80,50,130,77,50
90805,2005,436,314,750,429,312
90805,2006,414,289,703,403,289
90805,2007,446,313,759,436,313
90805,2008,497,316,813,484,316
90805,2009,553,341,894,529,340
90805,2010,488,299,787,476,299
90805,2011,535,310,845,514,310
90805,2012,414,284,698,396,283
90805,2013,432,260,692,420,258
90805,2014,405,232,637,397,231
90805,2015,388,216,604,382,216
90805,2017,303,178,481,292,177
90805,2018,230,133,363,221,133
90805,2019,302,188,490,285,188
90805,2020,64,44,108,61,44
90805,2021,85,58,143,80,58
90805,2022,137,92,229,133,92
90805,2023,301,192,493,296,192
90805,2024,293,167,460,287,167
90805,2025,133,78,211,128,78
90806,2005,273,203,476,270,203
90806,2006,228,143,371,218,143
90806,2007,242,157,399,229,157
90806,2008,285,187,472,272,187
90806,2009,268,181,449,258,181
90806,2010,236,150,386,232,150
90806,2011,253,153,406,245,153
90806,2012,279,179,458,270,179
90806,2013,245,142,387,239,142
90806,2014,230,126,356,222,126
90806,2015,206,101,307,203,101
90806,2017,173,88,261,167,88
90806,2018,148,79,227,145,78
90806,2019,111,65,176,108,65
90806,2020,29,17,46,28,17
90806,2021,51,35,86,51,35
90806,2022,82,47,129,82,47
90806,2023,143,73,216,142,73
90806,2024,113,44,157,106,44
90806,2025,60,41,101,59,41
90807,2005,73,54,127,72,54
90807,2006,85,51,136,83,51
90807,2007,72,42,114,69,42
90807,2008,91,68,159,86,68
90807,2009,103,73,176,98,73
90807,2010,121,86,207,115,86
90807,2011,97,57,154,93,57
90807,2012,86,56,142,84,56
90807,2013,92,48,140,87,48
90807,2014,79,44,123,78,44
90807,2015,53,27,80,52,27
90807,2017,77,33,110,75,33
90807,2018,49,23,72,47,23
90807,2019,59,28,87,57,28
90807,2020,25,10,35,22,10
90807,2021,24,18,42,23,18
90807,2022,38,23,61,38,23
90807,2023,46,21,67,44,21
90807,2024,33,11,44,32,10
90807,2025,31,10,41,30,10
90808,2005,22,14,36,22,14
90808,2006,23,21,44,23,21
90808,2007,30,25,55,30,25
90808,2008,38,21,59,34,21
90808,2009,50,23,73,42,23
90808,2010,44,25,69,39,25
90808,2011,45,31,76,43,31
90808,2012,37,23,60,35,23
90808,2013,29,17,46,29,17
90808,2014,25,16,41,24,16
90808,2015,24,13,37,22,13
90808,2017,26,20,46,26,20
90808,2018,25,17,42,25,17
90808,2019,23,17,40,23,17
90808,2020,6,3,9,6,3
90808,2021,12,8,20,11,8
90808,2022,20,16,36,20,16
90808,2023,15,6,21,15,6
90808,2024,20,9,29,19,9
90808,2025,6,6,12,6,6
90810,2005,54,44,98,52,44
90810,2006,56,36,92,54,36
90810,2007,67,42,109,66,42
90810,2008,67,47,114,66,47
90810,2009,67,47,114,63,47
90810,2010,76,45,121,75,45
90810,2011,69,44,113,67,44
90810,2012,59,41,100,57,41
90810,2013,57,30,87,57,30
90810,2014,72,47,119,72,47
90810,2015,100,51,151,95,51
90810,2017,69,43,112,67,43
90810,2018,60,32,92,58,32
90810,2019,88,57,145,84,57
90810,2020,27,17,44,26,17
90810,2021,26,15,41,25,15
90810,2022,25,17,42,23,17
90810,2023,48,25,73,46,25
90810,2024,56,31,87,52,31
90810,2025,31,13,44,31,13
90813,2005,421,292,713,411,291
90813,2006,432,297,729,421,297
90813,2007,493,339,832,474,339
90813,2008,452,282,734,439,282
90813,2009,397,276,673,387,276
90813,2010,464,287,751,453,287
90813,2011,490,286,776,480,286
90813,2012,507,335,842,497,334
90813,2013,505,259,764,496,259
90813,2014,525,263,788,510,263
90813,2015,500,212,712,489,212
90813,2017,399,191,590,388,189
90813,2018,352,197,549,343,197
90813,2019,278,139,417,272,139
90813,2020,64,33,97,63,33
90813,2021,100,72,172,97,72
90813,2022,246,135,381,235,135
90813,2023,269,167,436,267,167
90813,2024,251,81,332,244,80
90813,2025,105,57,162,103,57
90814,2005,56,41,97,56,41
90814,2006,56,37,93,54,37
90814,2007,66,47,113,65,47
90814,2008,62,42,104,60,42
90814,2009,51,39,90,49,39
90814,2010,55,32,87,54,32
90814,2011,57,31,88,55,31
90814,2012,62,45,107,59,45
90814,2013,42,25,67,40,25
90814,2014,39,25,64,38,25
90814,2015,42,23,65,39,23
90814,2017,40,23,63,38,23
90814,2018,36,18,54,35,18
90814,2019,27,14,41,25,14
90814,2020,4,3,7,4,3
90814,2021,10,7,17,10,7
90814,2022,33,14,47,31,14
90814,2023,39,19,58,38,19
90814,2024,27,7,34,27,7
90814,2025,12,6,18,12,6
90815,2005,51,41,92,50,41
90815,2006,59,40,99,53,39
90815,2007,56,39,95,56,39
90815,2008,54,33,87,52,33
90815,2009,48,29,77,46,29
90815,2010,75,45,120,73,45
90815,2011,56,40,96,55,40
90815,2012,83,46,129,77,46
90815,2013,55,36,91,55,36
90815,2014,47,25,72,44,25
90815,2015,53,28,81,52,28
90815,2017,53,31,84,51,31
90815,2018,42,25,67,39,25
90815,2019,40,27,67,40,27
90815,2020,10,8,18,9,8
90815,2021,25,19,44,25,19
90815,2022,50,38,88,48,38
90815,2023,60,40,100,60,40
90815,2024,56,33,89,56,33
90815,2025,29,19,48,28,19
90831,2005,2,1,3,2,1
90831,2023,1,0,1,1,0
90831,2024,1,0,1,1,0
90831,2025,3,1,4,3,1
