year,month,notice_events,lockout_events,total_events
2005,1,156,117,273
2005,2,183,128,311
2005,3,154,124,278
2005,4,169,119,288
2005,5,164,151,315
2005,6,217,163,380
2005,7,187,114,301
2005,8,183,153,336
2005,9,231,138,369
2005,10,176,103,279
2005,11,149,123,272
2005,12,193,142,335
2006,1,196,113,309
2006,2,161,102,263
2006,3,172,129,301
2006,4,155,103,258
2006,5,182,138,320
2006,6,180,110,290
2006,7,176,122,298
2006,8,210,148,358
2006,9,201,148,349
2006,10,203,128,331
2006,11,127,112,239
2006,12,140,91,231
2007,1,177,119,296
2007,2,150,108,258
2007,3,230,148,378
2007,4,167,115,282
2007,5,152,122,274
2007,6,204,118,322
2007,7,209,133,342
2007,8,224,154,378
2007,9,169,129,298
2007,10,205,128,333
2007,11,235,148,383
2007,12,155,134,289
2008,1,215,156,371
2008,2,194,123,317
2008,3,211,134,345
2008,4,88,67,155
2008,6,182,133,315
2008,7,216,141,357
2008,8,208,124,332
2008,9,228,152,380
2008,10,221,176,397
2008,11,218,123,341
2008,12,276,155,431
2009,1,212,154,366
2009,2,205,119,324
2009,3,178,121,299
2009,4,215,135,350
2009,5,156,119,275
2009,6,169,117,286
2009,7,196,120,316
2009,8,165,104,269
2009,9,179,134,313
2009,10,203,128,331
2009,11,165,86,251
2009,12,186,130,316
2010,1,200,109,309
2010,2,156,122,278
2010,3,217,136,353
2010,4,172,122,294
2010,5,184,115,299
2010,6,185,129,314
2010,7,160,114,274
2010,8,227,135,362
2010,9,192,152,344
2010,10,213,106,319
2010,11,170,84,254
2010,12,170,92,262
2011,1,194,78,272
2011,2,162,95,257
2011,3,222,133,355
2011,4,167,93,260
2011,5,174,127,301
2011,6,170,121,291
2011,7,193,125,318
2011,8,195,113,308
2011,9,256,153,409
2011,10,179,109,288
2011,11,131,101,232
2011,12,233,111,344
2012,1,193,127,320
2012,2,177,126,303
2012,3,225,160,385
2012,4,168,95,263
2012,5,203,130,333
2012,6,194,134,328
2012,7,194,115,309
2012,8,204,137,341
2012,9,118,75,193
2012,10,200,114,314
2012,11,193,138,331
2012,12,147,109,256
2013,1,162,108,270
2013,2,234,115,349
2013,3,209,120,329
2013,4,160,126,286
2013,5,147,117,264
2013,6,159,63,222
2013,7,127,83,210
2013,8,254,121,375
2013,9,129,105,234
2013,10,236,103,339
2013,11,155,94,249
2013,12,162,79,241
2014,1,185,125,310
2014,2,147,55,202
2014,3,160,113,273
2014,4,176,67,243
2014,5,141,97,238
2014,6,177,100,277
2014,7,232,134,366
2014,8,199,82,281
2014,9,136,94,230
2014,10,201,71,272
2014,11,128,66,194
2014,12,195,92,287
2015,1,179,88,267
2015,2,130,88,218
2015,3,191,88,279
2015,4,141,74,215
2015,5,99,47,146
2015,6,145,64,209
2015,7,180,93,273
2015,8,190,70,260
2015,9,178,99,277
2015,10,148,76,224
2015,11,196,84,280
2015,12,173,99,272
2017,1,188,70,258
2017,2,143,84,227
2017,3,177,86,263
2017,4,130,71,201
2017,5,134,86,220
2017,6,147,66,213
2017,7,128,50,178
2017,8,98,72,170
2017,9,138,61,199
2017,10,166,77,243
2017,11,131,74,205
2017,12,113,88,201
2018,1,112,82,194
2018,2,165,77,242
2018,3,152,69,221
2018,4,121,60,181
2018,5,100,73,173
2018,6,114,71,185
2018,7,116,47,163
2018,8,115,62,177
2018,9,134,64,198
2018,10,120,65,185
2018,11,83,62,145
2018,12,62,33,95
2019,1,107,71,178
2019,2,163,66,229
2019,3,136,91,227
2019,4,110,72,182
2019,5,118,58,176
2019,6,109,61,170
2019,7,115,75,190
2019,8,129,81,210
2019,9,120,60,180
2019,10,110,82,192
2019,11,91,43,134
2019,12,104,47,151
2020,1,98,71,169
2020,2,106,41,147
2020,3,22,33,55
2020,6,1,1,2
2020,7,18,1,19
2020,8,41,32,73
2020,9,4,10,14
2020,10,13,7,20
2020,11,29,10,39
2020,12,12,9,21
2021,1,28,18,46
2021,2,96,50,146
2021,3,70,63,133
2021,4,49,41,90
2021,5,40,20,60
2021,6,37,31,68
2021,7,34,24,58
2021,8,40,33,73
2021,9,17,21,38
2021,10,28,15,43
2021,11,23,19,42
2021,12,31,11,42
2022,1,49,31,80
2022,2,41,29,70
2022,3,66,38,104
2022,4,59,50,109
2022,5,57,45,102
2022,6,91,47,138
2022,7,50,33,83
2022,8,82,35,117
2022,9,62,60,122
2022,10,155,68,223
2022,11,148,74,222
2022,12,110,76,186
2023,1,98,87,185
2023,2,191,82,273
2023,3,120,133,253
2023,4,141,70,211
2023,5,140,89,229
2023,6,128,95,223
2023,7,140,56,196
2023,8,151,62,213
2023,9,158,48,206
2023,10,80,60,140
2023,11,77,43,120
2023,12,125,39,164
2024,1,127,47,174
2024,2,86,52,138
2024,3,151,40,191
2024,4,121,51,172
2024,5,112,70,182
2024,6,142,57,199
2024,7,143,29,172
2024,8,80,51,131
2024,9,94,50,144
2024,10,128,76,204
2024,11,139,33,172
2024,12,119,40,159
2025,1,98,59,157
2025,2,83,50,133
2025,3,67,52,119
2025,4,162,74,236
2025,5,89,104,193
2025,6,58,18,76
2025,7,138,34,172
