owner_name,owner_type,total_filings,notice_to_vacate,restorations,restoration_pct,first_year,last_year,years_active,units_owned,max_sq_ft,year_built,assessed_value,zip_count,zip_codes,high_conf,med_conf
AVANATH SEAPORT LLC,LLC,252,133.0,119.0,47.2,2018,2025,7,21,16663,1963,3498570,1,90805,249,3
2009 CUSA COMMUNITY OWNER LLC,LLC,134,92.0,42.0,31.3,2018,2025,8,538,259356,2003,153501195,1,90802,127,7
RWBP PROMENADE LP,Limited Partnership,79,59.0,20.0,25.3,2018,2025,7,84,148007,2008,32641800,1,90802,77,2
IND_0001,Individual Trust,99,57.0,42.0,42.4,2018,2025,7,17,11015,1946,1967726,2,"90804, 90813",73,26
MADISON APTS CORP,Corporation,72,47.0,25.0,34.7,2018,2025,8,34,13680,1923,1143572,1,90802,14,58
CENTURY VILLAGES AT CABRILLO INC,Corporation,69,47.0,22.0,31.9,2018,2025,8,120,116943,2017,12365222,1,90810,64,5
MG PINE AT 6TH APARTMENTS,Other/Unknown,76,47.0,29.0,38.2,2018,2025,7,1,530,1987,244244,1,90802,71,5
IND_0002,Individual,63,43.0,20.0,31.7,2018,2025,7,1,1340,2008,432010,1,90802,59,4
SYLMAR FOOTHILL LLC AND,LLC,55,43.0,12.0,21.8,2018,2025,6,33,17718,1927,5508027,1,90802,50,5
DECRO LONG BEACH LP,Limited Partnership,67,42.0,25.0,37.3,2018,2025,8,44,31378,1987,5490507,3,"90805, 90806, 90813",62,5
WSC INVESTMENT PARTNERS LLC,LLC,54,38.0,16.0,29.6,2018,2025,8,24,13641,1987,4395065,4,"90802, 90804, 90813, 90814",44,10
MASUDA INVESTMENTS LLC,LLC,59,33.0,26.0,44.1,2019,2024,5,55,49093,1969,8304838,1,90805,59,0
SBG REC LLC,LLC,43,32.0,11.0,25.6,2018,2024,7,59,22696,1965,5714721,3,"90805, 90810, 90813",38,5
LB OCEANAIRE DEVELOPMENT LLC,LLC,51,32.0,19.0,37.3,2019,2025,7,216,258916,2019,125467458,1,90802,47,4
PENN PROPERTIES LLC,LLC,51,30.0,21.0,41.2,2018,2025,7,24,14466,1963,4946722,3,"90802, 90804, 90813",28,23
STELLAR FAMILY INVESTMENT CO LLC,LLC,47,30.0,17.0,36.2,2022,2025,4,20,12980,1948,1878749,2,"90802, 90803",45,2
IND_0003,Individual Trust,45,29.0,16.0,35.6,2018,2025,7,93,69530,1973,4416515,1,90805,43,2
OCEAN STRUCTURE LP,Limited Partnership,46,29.0,17.0,37.0,2018,2025,8,12,5792,1956,1165834,3,"90804, 90806, 90813",44,2
CMIF III FOUNTAIN VIEW LLC,LLC,46,28.0,18.0,39.1,2018,2025,7,153,108564,1986,37568295,1,90805,0,46
230 LIME AVENUE LLC,LLC,45,28.0,17.0,37.8,2019,2025,6,18,4100,1928,477930,1,90802,43,2
IND_0004,Individual,28,27.0,1.0,3.6,2019,2025,2,27,4288,1947,2312592,1,90806,26,2
404 PINE LP,Limited Partnership,45,27.0,18.0,40.0,2018,2025,7,51,50991,2003,19120936,1,90802,45,0
707 EAST OCEAN BOULEVARD LLC,LLC,42,26.0,16.0,38.1,2018,2025,8,223,266158,2016,134866206,1,90802,40,2
